Rank,Name,Country,Student Population,Students to Staff Ratio,International Students,Female to Male Ratio,Overall Score,Teaching,Research Environment,Research Quality,Industry Impact,International Outlook
401–500,Örebro University,Sweden,"9,623",15.1,6%,61:39:00,40.9–44.0,18.6,21,89,36.2,58.3
401–500,University of Peradeniya,Sri Lanka,"16,647",11.1,1%,59:41:00,40.9–44.0,17.4,8.4,100,35.6,41.3
401–500,University of Pisa,Italy,"33,780",21.4,6%,51:49:00,40.9–44.0,28.1,28,70.6,41.8,41.3
401–500,University of Plymouth,United Kingdom,"16,505",17.6,15%,57:43:00,40.9–44.0,20.4,20.8,79.2,35.2,72.4
401–500,Pontificia Universidad Católica de Chile,Chile,"29,756",15.3,7%,n/a,40.9–44.0,24.8,30.3,66.4,73,58.2
401–500,University of Porto,Portugal,"33,120",16.3,19%,56:44:00,40.9–44.0,25.1,28.9,64,40.8,60.8
401–500,Universitat Ramon Llull,Spain,"14,309",21.4,17%,53:47:00,40.9–44.0,20,16.6,82,38.1,65.9
401–500,Royal Veterinary College,United Kingdom,"2,260",10.8,25%,79:21:00,40.9–44.0,25.6,18.4,75.8,48,90.7
401–500,Saint-Petersburg Mining University,Russian Federation,"7,753",11.5,11%,43:57:00,40.9–44.0,21.7,11.7,90.7,75.9,31.4
401–500,University of Salerno,Italy,"25,911",27.5,3%,55:45:00,40.9–44.0,17.9,22.4,85.1,37.8,35.2
401–500,Sciences Po,France,"12,543",45,37%,60:40:00,40.9–44.0,33.3,24,57.3,36.9,83.7
401–500,Sharif University of Technology,Iran,"8,253",21.3,2%,25 : 75,40.9–44.0,32.9,37.2,50.7,94.5,29.9
401–500,University of Sharjah,United Arab Emirates,"12,370",17.6,59%,67:33:00,40.9–44.0,20.2,17.4,80.2,38.8,98.8
401–500,Sichuan University,China,"51,121",16.4,6%,50:50:00,40.9–44.0,36.9,40.8,47.7,91.7,38.9
401–500,SOAS University of London,United Kingdom,"4,635",12,54%,68:32:00,40.9–44.0,41.9,41.1,34.7,34.9,79.6
401–500,University of South Carolina-Columbia,United States,"32,997",15.9,6%,55:45:00,40.9–44.0,35.1,27.5,62.5,36.4,46.4
401–500,South China University of Technology,China,"41,095",13.3,5%,39 : 61,40.9–44.0,26.8,33.1,67.8,82.8,33.8
401–500,Southern Medical University,China,"20,167",10.8,6%,n/a,40.9–44.0,36.6,34.8,60.1,42.6,24.5
401–500,University of Southern Queensland,Australia,"11,841",26.5,18%,61:39:00,40.9–44.0,21.7,23.8,74.2,38.9,79.3
401–500,SRUC (Scotland’s Rural College),United Kingdom,"1,480",5.8,11%,56:44:00,40.9–44.0,23.6,12.4,81.9,41.8,59
401–500,University of Stavanger,Norway,"11,560",12.1,12%,60:40:00,40.9–44.0,18.5,14,83.4,41.7,76.1
401–500,University of Strathclyde,United Kingdom,"19,335",18.2,27%,51:49:00,40.9–44.0,30.4,32.1,54.2,49.5,88.2
401–500,University of Tabuk,Saudi Arabia,"30,590",15.6,1%,48:52:00,40.9–44.0,15.7,7.8,92.5,35.7,72.9
401–500,Technion Israel Institute of Technology,Israel,"14,482",20.9,9%,38 : 62,40.9–44.0,34.7,30.3,52.7,36.8,70.1
401–500,Tianjin University,China,"27,355",9,12%,n/a,40.9–44.0,36.2,42.5,46.2,95.4,38.6
401–500,Ton Duc Thang University,Vietnam,"26,833",22.3,1%,57:43:00,40.9–44.0,14.5,13.4,99.3,38.4,62.6
401–500,TU Dortmund University,Germany,"25,126",84.6,10%,47:53:00,40.9–44.0,37.3,42.7,49.8,48.5,42.9
401–500,Tulane University,United States,"11,336",8,12%,58:42:00,40.9–44.0,40.4,22.6,68.1,36.8,44.4
401–500,University of Turin,Italy,"57,586",28.6,6%,61:39:00,40.9–44.0,22.3,27.8,76.4,43.8,41.8
401–500,TU Wien,Austria,"10,296",18.7,30%,30 : 70,40.9–44.0,35.8,36,41.2,68.3,87
401–500,University of Vaasa,Finland,"3,690",21.9,4%,53:47:00,40.9–44.0,24.7,25.6,76.8,37.3,63.7
401–500,University of Valencia,Spain,"50,601",14.3,13%,58:42:00,40.9–44.0,24.1,22.7,75.5,37.5,49.6
401–500,Verona University,Italy,"18,825",24.6,4%,64:36:00,40.9–44.0,29.2,22.7,76.1,45.8,42.4
401–500,University of Vic – Central University of Catalonia,Spain,"6,344",14.5,20%,60:40:00,40.9–44.0,16.2,11.8,90,37,60.3
401–500,Victoria University,Australia,"16,680",48.1,31%,52:48:00,40.9–44.0,27,28.8,63.4,43.9,87.8
401–500,University of Waikato,New Zealand,"10,617",18.8,33%,59:41:00,40.9–44.0,22.1,29.8,64.4,46.7,95.3
401–500,Wayne State University,United States,"22,598",11.8,6%,58:42:00,40.9–44.0,32.5,18.9,73.1,48.2,36.2
401–500,University of the West of England,United Kingdom,"23,320",15.5,21%,54:46:00,40.9–44.0,16.9,14.2,87.3,35.2,70
401–500,The University of the West Indies,Jamaica,"24,281",16.4,1%,71:29:00,40.9–44.0,18.9,10.9,91.7,35.5,57.7
401–500,Xiamen University,China,"42,141",15,4%,51:49:00,40.9–44.0,29.1,23.9,74,52,33.5
401–500,Xi’an Jiaotong University,China,"38,879",12.5,7%,35 : 65,40.9–44.0,38.5,40.1,44.8,75.8,39.7
401–500,Yokohama City University,Japan,"5,054",5.9,2%,56:44:00,40.9–44.0,26.4,8.9,93,43.2,22.3
401–500,York University,Canada,"43,258",29,27%,55:45:00,40.9–44.0,27.4,33.9,59.3,43.1,73.5
501–600,Aberystwyth University,United Kingdom,"6,445",17,23%,52:48:00,38.1–40.8,24.1,24.9,63,38.6,79
501–600,Alagappa University,India,"4,548",13,0%,65:35:00,38.1–40.8,34.4,9.5,75.2,35.2,31
501–600,American University,United States,"12,683",12,11%,62:38:00,38.1–40.8,40.2,17.4,65.4,41.4,34.3
501–600,Amirkabir University of Technology,Iran,"11,550",22,2%,35 : 65,38.1–40.8,31.7,32.6,50.4,73.3,34.3
501–600,University of L’Aquila,Italy,"17,308",36.4,5%,56:44:00,38.1–40.8,31.4,23.5,66.6,43.8,34.8
501–600,"Asia University, Taiwan",Taiwan,"11,616",30.3,9%,63:37:00,38.1–40.8,19.4,36,52.1,100,51.9
501–600,Universidad Autónoma de Chile,Chile,"27,027",23.7,1%,62:38:00,38.1–40.8,13.4,9.8,96.7,34.8,51.7
501–600,University of Bari Aldo Moro,Italy,"29,565",21.2,1%,61:39:00,38.1–40.8,18.1,20.5,81.2,35.9,33.2
501–600,Beihang University,China,"30,837",12.9,7%,n/a,38.1–40.8,33,38.2,43.5,97.5,32.5
501–600,Beijing University of Chemical Technology,China,"25,497",20.9,4%,38 : 62,38.1–40.8,21.9,22.5,71.9,58.4,23.1
501–600,Birmingham City University,United Kingdom,"21,705",16.8,24%,62:38:00,38.1–40.8,17.1,10.8,81.2,34.9,66.9
501–600,Bond University,Australia,"3,386",10.5,46%,53:47:00,38.1–40.8,21.6,20.5,62.4,36.4,89.1
501–600,Bucharest University of Economic Studies,Romania,"22,287",15.9,4%,65:35:00,38.1–40.8,17.9,11.4,93.1,35.8,22.6
501–600,University of Camerino (Unicam),Italy,"8,052",27.3,10%,56:44:00,38.1–40.8,21.8,15.6,73.5,46.1,48.9
501–600,University of Canterbury,New Zealand,"14,606",18.3,25%,51:49:00,38.1–40.8,24.5,26.5,55,38.8,93.5
501–600,Capital Medical University,China,"13,823",5,5%,66:34:00,38.1–40.8,30.6,17.9,77.3,35.2,23.8
501–600,Centrale Nantes,France,"1,777",16.4,49%,1.011805556,38.1–40.8,33,29.7,40.7,76.9,85.5
501–600,CEU Universities,Spain,"18,259",11.5,20%,64:36:00,38.1–40.8,18.3,9.2,92.7,38.5,50
501–600,Charles Darwin University,Australia,"6,665",30.6,28%,68:32:00,38.1–40.8,23,30,55.9,46.8,79.4
501–600,Charles University,Czech Republic,"47,182",13,22%,62:38:00,38.1–40.8,33,28.3,52,35.2,63.8
501–600,Clark University,United States,"3,020",11.4,22%,60:40:00,38.1–40.8,23.2,20.9,68.5,34.8,57.1
501–600,Complutense University of Madrid,Spain,"66,338",22,12%,58:42:00,38.1–40.8,30,31.5,53.3,38.1,43.9
501–600,University of Costa Rica,Costa Rica,"35,071",15,2%,52:48:00,38.1–40.8,18.3,8.9,91,34.8,48.2
501–600,Cyprus University of Technology,Cyprus,"3,153",16.6,13%,56:44:00,38.1–40.8,21.9,17.6,70,37,78.4
501–600,Universidad del Desarrollo,Chile,"15,787",19.3,4%,56:44:00,38.1–40.8,14.9,10.1,89.4,38,50.4
501–600,Diego Portales University,Chile,"17,649",15.5,2%,50:50:00,38.1–40.8,15.6,11,86.2,34.8,51.4
501–600,Don State Technical University,Russian Federation,"26,376",12.9,11%,n/a,38.1–40.8,17.1,8.2,96.9,36.2,27.4
501–600,Dublin City University,Ireland,"13,315",23.6,12%,57:43:00,38.1–40.8,23.1,32.7,54.9,41,70.7
501–600,University of Eastern Finland,Finland,"11,688",18.3,6%,65:35:00,38.1–40.8,24,28.1,65,38.8,50.5
501–600,Eastern Mediterranean University,Northern Cyprus,"16,073",28.5,78%,42:58:00,38.1–40.8,21.9,12.6,68.8,39.6,89.2
501–600,Edinburgh Napier University,United Kingdom,"10,810",18.5,32%,54:46:00,38.1–40.8,17.5,15.7,72.3,35.2,85.1
501–600,University of Electronic Science and Technology of China,China,"35,342",15.6,4%,29 : 71,38.1–40.8,27.4,27.7,64,76,35.8
501–600,University of Toulouse,France,"105,857",19.6,14%,54:46:00,38.1–40.8,26.4,25.7,63.8,36.9,63.3
501–600,Ferhat Abbas Sétif University 1,Algeria,"34,622",22.5,1%,63:37:00,38.1–40.8,19.5,8.1,93.8,34.8,40.8
501–600,Florida International University,United States,"34,729",23,9%,58:42:00,38.1–40.8,32.1,27.8,62.4,35.6,40.3
501–600,University of Guelph,Canada,"22,571",27.4,10%,59:41:00,38.1–40.8,29,31.3,48.7,48.4,60.6
501–600,Gwangju Institute of Science and Technology (GIST),South Korea,"1,884",10.3,7%,1.011805556,38.1–40.8,41.4,39.9,33.2,75.9,39.9
501–600,Harbin Institute of Technology,China,"30,575",10.2,8%,31 : 69,38.1–40.8,40.8,37.2,44.4,44.2,33
501–600,Heriot-Watt University,United Kingdom,"9,495",18.3,36%,40 : 60,38.1–40.8,27.7,27.7,53.2,45,94.2
501–600,Hokkaido University,Japan,"18,085",8.2,11%,30 : 70,38.1–40.8,44.2,38.5,31.3,66.3,41
501–600,University of International Business and Economics,China,"15,985",17.7,17%,65:35:00,38.1–40.8,27.1,17.5,66.9,36.7,59.3
501–600,Iran University of Medical Sciences,Iran,"8,344",8.2,4%,58:42:00,38.1–40.8,46.2,15.7,60.8,40.8,24.1
501–600,"Islamic Azad University, Najafabad Branch (IAUN)",Iran,"21,181",53.9,1%,46:54:00,38.1–40.8,16.3,11.5,98.3,37.1,22.4
501–600,Jagiellonian University,Poland,"36,354",10,11%,63:37:00,38.1–40.8,30.4,23.8,66.5,35.7,40.6
501–600,Kafrelsheikh University,Egypt,"57,421",24.5,2%,52:48:00,38.1–40.8,14.3,8,93.1,37.5,47.6
501–600,Keele University,United Kingdom,"9,120",15,17%,58:42:00,38.1–40.8,21.8,24.2,64.2,35.7,71.5
501–600,University of Kentucky,United States,"26,483",11.5,4%,56:44:00,38.1–40.8,36.8,27.5,56.7,39.2,38.8
501–600,Koç University,Turkey,"5,521",15.4,7%,50:50:00,38.1–40.8,30.2,36.1,50.5,70.6,51
501–600,Kyushu University,Japan,"18,608",7.7,14%,29 : 71,38.1–40.8,43.2,37.5,34,77.4,42.4
501–600,University of Lagos,Nigeria,"32,732",19.7,0%,45:55:00,38.1–40.8,16.1,10.2,90.3,35.9,32.1
501–600,University of Lille,France,"69,090",28.8,15%,58:42:00,38.1–40.8,31.1,22.1,61.9,41.6,63.3
501–600,Lincoln University,New Zealand,"2,633",14.7,47%,51:49:00,38.1–40.8,26.6,22.5,51.6,53.3,96
501–600,University of Lincoln,United Kingdom,"13,925",15.4,12%,56:44:00,38.1–40.8,17.2,16,79.9,35.5,73.3
501–600,University of Lisbon,Portugal,"49,198",17.9,18%,53:47:00,38.1–40.8,24.8,32.6,56.2,42,60.6
501–600,Mansoura University,Egypt,"154,957",24.2,3%,54:46:00,38.1–40.8,18.5,11,88.5,38.8,47
501–600,Maynooth University,Ireland,"10,712",27.6,12%,56:44:00,38.1–40.8,22.2,27.6,61.5,37.7,79
501–600,University of Messina,Italy,"15,479",24.7,3%,62:38:00,38.1–40.8,29.1,23.3,68.1,36.6,31.4
501–600,Mizzou - University of Missouri,United States,"25,147",11.8,5%,54:46:00,38.1–40.8,36.3,26,56.3,39.4,43.9
501–600,University of Mohaghegh Ardabili,Iran,"10,633",26.7,0%,56:44:00,38.1–40.8,20.8,10.9,87.6,35.6,22.8
501–600,University of Montana,United States,"7,962",14.9,2%,57:43:00,38.1–40.8,35.1,20.6,64,35.6,28.6
501–600,Murdoch University,Australia,"17,261",37.3,41%,60:40:00,38.1–40.8,20.9,27.2,58.5,46.2,92.6
501–600,University of Nairobi,Kenya,"52,678",34.5,2%,24 : 76,38.1–40.8,14.1,8,96.7,34.8,47.1
501–600,University of Nebraska Medical Center,United States,"3,146",2.1,7%,68:32:00,38.1–40.8,35.3,12.3,71.5,38.7,44.1
501–600,New Jersey Institute of Technology,United States,"9,447",14.3,26%,26 : 74,38.1–40.8,21.4,19.8,61.8,38.5,85.5
501–600,Northern Arizona University,United States,"30,512",26.9,5%,62:38:00,38.1–40.8,22,15.1,86.3,35.4,35.1
501–600,North-West University,South Africa,"40,262",25.4,3%,61:39:00,38.1–40.8,22.6,19.1,75.5,39.1,49
501–600,Northwestern Polytechnical University,China,"31,033",13.2,3%,26 : 74,38.1–40.8,28.7,34.5,49.6,81.5,37.4
501–600,Nottingham Trent University,United Kingdom,"27,220",14.9,20%,58:42:00,38.1–40.8,20.3,14.9,77,35.5,78.2
501–600,Oklahoma State University,United States,"21,626",14.8,6%,50:50:00,38.1–40.8,29.6,20.3,67.5,38.1,45.6
501–600,University of Perugia,Italy,"25,301",24.9,7%,57:43:00,38.1–40.8,21.4,17.9,77.2,43.1,48.3
501–600,Plekhanov Russian University of Economics,Russian Federation,"14,450",8.8,13%,61:39:00,38.1–40.8,23.3,11,81.5,37.4,36
501–600,Polytechnic University of Bari,Italy,"9,639",41.5,1%,31 : 69,38.1–40.8,17.3,22.2,79.2,55.5,34.6
501–600,Pontifical Javeriana University,Colombia,"28,885",15.3,1%,55:45:00,38.1–40.8,16.5,10.9,88.2,35.1,44
501–600,University of Portsmouth,United Kingdom,"21,690",16.1,27%,46:54:00,38.1–40.8,20,17.8,70.6,35.6,90
501–600,Quaid-i-Azam University,Pakistan,"9,785",16.4,1%,53:47:00,38.1–40.8,26.7,16.4,73.6,36.1,46.4
501–600,Rensselaer Polytechnic Institute,United States,"7,800",15.6,20%,32 : 68,38.1–40.8,30.2,27.9,52.2,52,57.4
501–600,Riga Stradiņš University,Latvia,"8,083",17.7,29%,73:27:00,38.1–40.8,15.7,9.8,82.1,38.9,73.9
501–600,Sabancı University,Turkey,"3,700",20.9,9%,38 : 62,38.1–40.8,26.3,37.1,42.8,99.1,57.5
501–600,Saint Louis University,United States,"10,742",7.1,7%,60:40:00,38.1–40.8,37.8,16,61.5,37.3,33.8
501–600,University of Sannio,Italy,"2,896",15,2%,51:49:00,38.1–40.8,18.7,17.4,81.1,54.1,29.5
501–600,University of Saskatchewan,Canada,"17,896",18.2,21%,55:45:00,38.1–40.8,35.3,29.9,45.5,75.8,73.7
501–600,University of Sassari,Italy,"14,500",35.6,2%,66:34:00,38.1–40.8,28.4,26.8,65.8,37.9,38.1
501–600,Southeast University,China,"35,213",11.8,5%,39 : 61,38.1–40.8,30.2,35.4,46.8,95.8,37.9
501–600,Southwestern University of Finance and Economics,China,"23,302",16.7,3%,64:36:00,38.1–40.8,20.5,13.3,87,37.8,41.8
501–600,University of Strasbourg,France,"49,511",19.6,20%,58:42:00,38.1–40.8,26.7,21.2,60.3,42,72.5
501–600,Suez Canal University,Egypt,"36,423",11,1%,57:43:00,38.1–40.8,19,8.2,90.4,37.2,46.8
501–600,Sumy State University,Ukraine,"8,472",9.7,20%,n/a,38.1–40.8,21,11.5,79.9,40.7,53.1
501–600,Universiti Teknologi Petronas,Malaysia,"5,412",14.4,16%,37 : 63,38.1–40.8,29.2,31.6,41.8,73.7,73.8
501–600,Thapar Institute of Engineering and Technology,India,"8,934",16.1,1%,28 : 72,38.1–40.8,23,11.3,85,35.1,21.5
501–600,Tokyo Medical and Dental University (TMDU),Japan,"3,027",4.3,10%,49:51:00,38.1–40.8,45.4,28.4,41.3,70.9,29.3
501–600,University of Trieste,Italy,"16,432",24.7,8%,56:44:00,38.1–40.8,30.1,24.2,66.2,36.9,47.8
501–600,University of Tsukuba,Japan,"15,853",12.8,17%,39 : 61,38.1–40.8,43.6,38.3,37.9,48.1,42.5
501–600,University of Tuscia,Italy,"6,989",20.3,3%,48:52:00,38.1–40.8,18.2,17.8,85.2,38.8,37.2
501–600,University of Urbino Carlo Bo,Italy,"14,956",41.2,6%,62:38:00,38.1–40.8,16,16.3,78.7,41.3,50.4
501–600,Urmia University of Medical Sciences,Iran,"2,706",7.4,2%,52:48:00,38.1–40.8,34.4,10.4,77.5,43.4,17.6
501–600,Victoria University of Wellington,New Zealand,"17,933",19,22%,57:43:00,38.1–40.8,25.5,32.1,51.9,52.5,88.8
501–600,University of the West of Scotland,United Kingdom,"13,015",23,24%,60:40:00,38.1–40.8,18.4,14.5,74.5,35.4,79.2
501–600,Zhejiang Normal University,China,"23,861",10.4,10%,n/a,38.1–40.8,17.7,14.2,85,62.5,32.8
601–800,Abdul Wali Khan University Mardan,Pakistan,"10,669",21.4,0%,0.888888889,32.0–37.9,14.6,10.4,80.9,34.8,45.9
601–800,Åbo Akademi University,Finland,"5,309",17.5,14%,n/a,32.0–37.9,23.4,30.5,42.5,37.9,66.8
601–800,Ahvaz Jundishapur University of Medical Sciences (AJUMS),Iran,"8,259",11.5,1%,60:40:00,32.0–37.9,33.1,10.1,62.9,35.5,16.1
601–800,The University of Aizu,Japan,"1,197",11.7,7%,0.520138889,32.0–37.9,21.7,13,52.3,35.9,72.8
601–800,Ajou University,South Korea,"9,073",17.2,11%,n/a,32.0–37.9,28.1,36.2,39.3,77.8,38.1
601–800,The University of Alabama,United States,"35,800",21.6,4%,56:44:00,32.0–37.9,27,18.8,59,36.3,30.1
601–800,University of Alabama in Huntsville,United States,"8,258",18.1,6%,45:55:00,32.0–37.9,23.2,20.4,53.9,72,42.3
601–800,University of Alcalá,Spain,"17,995",11.9,23%,53:47:00,32.0–37.9,20.6,14.5,53.8,40.5,63.1
601–800,Aristotle University of Thessaloniki,Greece,"49,057",30.1,5%,60:40:00,32.0–37.9,18.6,17.6,63.8,42.7,41.5
601–800,University of Arkansas,United States,"25,527",20,5%,53:47:00,32.0–37.9,28.5,27.6,45.1,38.1,30.1
601–800,Auburn University,United States,"27,469",18.8,10%,50:50:00,32.0–37.9,31.1,22.7,47.5,41.8,48.1
601–800,Azarbaijan Shahid Madani University,Iran,"7,121",26.3,0%,61:39:00,32.0–37.9,16.7,13,76.8,36.7,23.4
601–800,University of the Balearic Islands,Spain,"17,449",17.9,3%,32 : 68,32.0–37.9,16.8,15.4,62.1,34.9,45.4
601–800,Banaras Hindu University,India,"13,900",8.8,3%,39 : 61,32.0–37.9,35.4,18.2,58.4,34.9,18.9
601–800,Bar-Ilan University,Israel,"16,498",16.5,5%,61:39:00,32.0–37.9,30.6,33.3,39.4,46.9,51.7
601–800,Beijing Institute of Technology,China,"33,771",13.8,6%,34 : 66,32.0–37.9,31.6,32.8,43.2,99.9,25.5
601–800,University of Beira Interior,Portugal,"7,417",16.2,20%,52:48:00,32.0–37.9,18.6,19.6,52.6,37.5,57.4
601–800,University of Bergamo,Italy,"22,957",61.9,7%,63:37:00,32.0–37.9,18.8,21.9,55.4,40.3,35.3
601–800,Bilkent University,Turkey,"9,961",14.3,9%,46:54:00,32.0–37.9,22.6,20.7,45.2,48.1,63.1
601–800,Université Bourgogne Franche-Comté (UBFC),France,"65,746",36.6,12%,55:45:00,32.0–37.9,18.3,16.2,70.4,41,56
601–800,University of Bradford,United Kingdom,"8,245",18.5,28%,57:43:00,32.0–37.9,21.4,19.6,49.3,37.9,79.8
601–800,University of Brighton,United Kingdom,"16,095",17.7,22%,60:40:00,32.0–37.9,19.8,15.5,54.4,35.2,76.6
601–800,Ca’ Foscari University of Venice,Italy,"16,804",25.7,11%,64:36:00,32.0–37.9,33.7,27.3,33.5,40.9,58.8
601–800,Cairo University,Egypt,"231,150",38.6,3%,48:52:00,32.0–37.9,23.2,16.7,55.6,35.6,36.9
601–800,University of Calabria,Italy,"26,513",31.6,3%,58:42:00,32.0–37.9,16.2,17.6,62.3,35.5,38.2
601–800,Carleton University,Canada,"28,693",29.6,21%,49:51:00,32.0–37.9,22.1,29.8,52.3,40.3,71.6
601–800,University of Catania,Italy,"25,486",20.2,3%,55:45:00,32.0–37.9,25,19.7,70.4,36.1,31.4
601–800,University of Central Florida,United States,"61,044",36.3,4%,56:44:00,32.0–37.9,27.2,28.6,56.6,45.5,34.5
601–800,Institute of Chemical Technology,India,"2,470",24.7,0%,37 : 63,32.0–37.9,36.5,28.5,36.8,51,14.6
601–800,China Agricultural University,China,"21,855",11.8,1%,58:42:00,32.0–37.9,31.3,29,52.7,54.5,24.2
601–800,Chongqing University,China,"40,613",19.9,6%,n/a,32.0–37.9,25.3,28.7,46.9,86.6,25.8
601–800,Chung-Ang University,South Korea,"18,066",23,21%,n/a,32.0–37.9,35.5,37.4,27.5,76.9,53.5
601–800,University of Coimbra,Portugal,"21,845",18.4,20%,57:43:00,32.0–37.9,24.5,32,45.4,47,60
601–800,Concordia University,Canada,"35,698",33.6,33%,50:50:00,32.0–37.9,23.5,27.7,42.4,37.1,85
601–800,Covenant University,Nigeria,"8,156",15.2,0%,43:57:00,32.0–37.9,19,20.5,56.7,44.7,31
601–800,Coventry University,United Kingdom,"30,825",15.6,46%,48:52:00,32.0–37.9,20,13.9,47.7,35,92.7
601–800,CY Cergy Paris University,France,"14,768",19.7,25%,52:48:00,32.0–37.9,24.6,24.8,49.2,41,88.5
601–800,Dalian University of Technology,China,"40,469",15.3,3%,33 : 67,32.0–37.9,25.6,25.7,42.1,73.5,31.1
601–800,Delhi Technological University,India,"9,939",22.2,3%,0.847916667,32.0–37.9,17,15,78.2,42.2,16.3
601–800,De Montfort University,United Kingdom,"21,890",19.6,33%,54:46:00,32.0–37.9,17.5,15,51.1,34.9,86.5
601–800,University of Derby,United Kingdom,"14,940",14.8,16%,59:41:00,32.0–37.9,17.2,11.7,59.2,35.2,67.3
601–800,University of Deusto,Spain,"9,135",20.2,11%,59:41:00,32.0–37.9,18.8,19.6,56.9,40.5,45.6
601–800,Eötvös Loránd University,Hungary,"29,639",16.6,12%,62:38:00,32.0–37.9,32,16.3,50.4,35.3,53.8
601–800,Ewha Womans University,South Korea,"14,876",18,15%,100:00:00,32.0–37.9,33.3,32.9,29.4,79.1,46.1
601–800,Federal University of Minas Gerais,Brazil,"43,886",12.9,2%,53:47:00,32.0–37.9,33.3,18.8,50,39.3,29.5
601–800,Universidade Federal do Rio Grande do Sul,Brazil,"41,073",14.7,1%,51:49:00,32.0–37.9,31.5,20,49.5,46.7,28.1
601–800,Universidade Federal de Sergipe,Brazil,"26,079",15.2,0%,52:48:00,32.0–37.9,17.7,9.5,87,34.8,22.2
601–800,Federation University Australia,Australia,"12,946",23.2,56%,53:47:00,32.0–37.9,17.6,14.8,51.2,39.5,78.8
601–800,Gabriele d‘Annunzio University,Italy,"24,189",35,2%,64:36:00,32.0–37.9,15,16.6,72.7,36.1,38.7
601–800,University of Girona,Spain,"13,903",21.1,14%,57:43:00,32.0–37.9,19.5,20.1,56,37.9,53
601–800,Glasgow Caledonian University,United Kingdom,"13,510",22.9,18%,57:43:00,32.0–37.9,19.2,13.8,61,35.3,66
601–800,Government College University Faisalabad,Pakistan,"20,583",28.6,0%,49:51:00,32.0–37.9,14.6,12.1,73.9,34.8,43
601–800,University of Granada,Spain,"50,604",13.6,10%,60:40:00,32.0–37.9,21.8,23.2,55.1,35.1,50.1
601–800,University of Graz,Austria,"19,211",20.8,16%,65:35:00,32.0–37.9,22.3,20,53.6,36.8,79.2
601–800,Graz University of Technology,Austria,"6,386",9.4,22%,24 : 76,32.0–37.9,29.4,18,47.2,71.6,81.2
601–800,University of Greenwich,United Kingdom,"14,195",17.9,41%,59:41:00,32.0–37.9,17.7,15.9,60.3,35.8,93.5
601–800,Guangdong University of Technology,China,"44,296",18.4,0%,29 : 71,32.0–37.9,16,14.5,67,42.4,25.9
601–800,Guangzhou University,China,"34,472",16.9,0%,56:44:00,32.0–37.9,16.4,10.1,75.7,38.2,28.8
601–800,Hacettepe University,Turkey,"49,026",21.3,3%,54:46:00,32.0–37.9,26.8,13.5,61.1,37,24.3
601–800,University of Haifa,Israel,"16,228",9.5,6%,68:32:00,32.0–37.9,24,22.7,64.5,35.7,39.7
601–800,Hamburg University of Technology,Germany,"4,931",32,24%,27 : 73,32.0–37.9,34.1,21.2,45.1,95.6,57.5
601–800,Hazara University Mansehra,Pakistan,"9,830",23,0%,25 : 75,32.0–37.9,16.3,9.3,74.8,34.8,42.2
601–800,University of Hertfordshire,United Kingdom,"17,770",14.6,31%,56:44:00,32.0–37.9,18.8,12.9,51.1,35.3,84.3
601–800,University of Houston,United States,"47,002",26.6,8%,51:49:00,32.0–37.9,33.1,25.8,50,36.6,43.5
601–800,Huazhong Agricultural University,China,"27,746",17.6,2%,48:52:00,32.0–37.9,24.2,16.6,61.7,42.8,25.1
601–800,University of Huddersfield,United Kingdom,"14,350",19.9,26%,57:43:00,32.0–37.9,24.3,23.4,49.9,37.5,81.3
601–800,University of Hull,United Kingdom,"13,440",17.3,19%,55:45:00,32.0–37.9,23.4,23.9,56.6,36.5,77.8
601–800,University of Idaho,United States,"9,565",15.8,8%,49:51:00,32.0–37.9,29.2,21.8,47.1,36.5,48.4
601–800,Indian Institute of Technology Gandhinagar,India,"1,590",15.5,0%,24 : 76,32.0–37.9,29.1,28.4,54,55.1,25
601–800,Indraprastha Institute of Information Technology Delhi,India,"2,122",26.2,1%,30 : 70,32.0–37.9,17,12.9,64.2,63.5,31.9
601–800,"International Institute of Information Technology, Hyderabad",India,"1,557",17.5,8%,0.888888889,32.0–37.9,20.5,11.4,63.8,58.8,31.6
601–800,"International Islamic University, Islamabad",Pakistan,"23,174",25.2,8%,50:50:00,32.0–37.9,20.3,10.3,68.9,34.8,51.7
601–800,Iran University of Science and Technology,Iran,"15,004",33.9,1%,34 : 66,32.0–37.9,31.3,31.5,47.6,90.7,19.1
601–800,ISCTE-University Institute of Lisbon,Portugal,"9,118",23,15%,51:49:00,32.0–37.9,27.8,28.8,39.6,40.8,53.8
601–800,Istanbul Technical University,Turkey,"25,640",21,12%,35 : 65,32.0–37.9,28.3,34.8,27.6,100,36.9
601–800,ITMO University,Russian Federation,"11,089",16.4,20%,36 : 64,32.0–37.9,30.7,32.5,33,96,64
601–800,Jamia Millia Islamia,India,"10,451",9.3,2%,47:53:00,32.0–37.9,31.9,11.9,63.5,36.6,25.8
601–800,Jawaharlal Nehru University,India,"8,805",14.2,3%,47:53:00,32.0–37.9,45.1,25,37.2,36.3,19.2
601–800,Jinan University,China,"35,781",14.4,31%,59:41:00,32.0–37.9,23.2,18.6,52.8,41.3,56.8
601–800,University of Johannesburg,South Africa,"28,273",24.7,15%,55:45:00,32.0–37.9,24,31,35.6,42.5,74.3
601–800,Johannes Kepler University of Linz,Austria,"6,644",10.2,13%,51:49:00,32.0–37.9,27.2,20.3,42.8,55.6,71.5
