Rank,Name,Country,Student Population,Students to Staff Ratio,International Students,Female to Male Ratio,Overall Score,Teaching,Research Environment,Research Quality,Industry Impact,International Outlook
501–600,Anglia Ruskin University (ARU),United Kingdom,"17,200",24.1,41%,61:39:00,41.9–45.3,20.2,16.3,84.8,19,94.2
501–600,Anna University,India,"12,824",13.1,1%,41:59:00,41.9–45.3,32,26.3,72.4,51,20.4
501–600,University of L’Aquila,Italy,"18,822",31.7,5%,55:45:00,41.9–45.3,32.1,22.8,73.2,70.9,36.4
501–600,Auburn University,United States,"27,670",18.2,8%,50:50:00,41.9–45.3,36,25.7,59.6,69.3,57.7
501–600,Babol Noshirvani University of Technology,Iran,"5,815",26.7,0%,34 : 66,41.9–45.3,21.5,21.5,94.4,28.4,25.3
501–600,Bar-Ilan University,Israel,"19,599",19,4%,61:39:00,41.9–45.3,30,34.1,54.1,85.8,46.8
501–600,Beirut Arab University,Lebanon,"4,834",10.4,21%,45:55:00,41.9–45.3,48.5,24.6,47.3,18.6,88.2
501–600,Ben-Gurion University of the Negev,Israel,"17,265",21.3,2%,52:48:00,41.9–45.3,34.1,30.6,59,71.6,34.5
501–600,University of Bradford,United Kingdom,"8,970",19.5,31%,57:43:00,41.9–45.3,23.3,22.4,73.8,58.1,90.1
501–600,Brighton and Sussex Medical School,United Kingdom,25,0.3,26%,60:40:00,41.9–45.3,26.6,22,74.4,37.8,93.1
501–600,Ca’ Foscari University of Venice,Italy,"15,053",29.5,7%,66:34:00,41.9–45.3,34.2,36.3,52.8,64.7,63
501–600,University of Calabria,Italy,"12,784",16.1,5%,62:38:00,41.9–45.3,34.9,19.5,69.6,47.4,43.2
501–600,University of Canterbury,New Zealand,"16,102",22,18%,52:48:00,41.9–45.3,28.6,30.9,62.4,68.2,85.1
501–600,Carleton University,Canada,"29,656",29.4,21%,50:50:00,41.9–45.3,22.6,31.2,67,75.5,77.2
501–600,Central Queensland University,Australia,"12,874",25.6,11%,65:35:00,41.9–45.3,19.7,26.7,76,39.5,65.3
501–600,"China University of Petroleum, Beijing",China,"18,061",18.6,7%,n/a,41.9–45.3,31.6,37.5,56.6,81.8,30.1
501–600,Complutense University of Madrid,Spain,"59,814",11.8,10%,62:38:00,41.9–45.3,40.3,29.4,58.8,52.1,46.7
501–600,Concordia University,Canada,"36,749",34.6,34%,50:50:00,41.9–45.3,25.7,29.3,66.2,66.3,86.6
501–600,University of Côte d’Azur,France,"33,024",20.5,20%,56:44:00,41.9–45.3,28.4,22,65.6,62.4,80.6
501–600,University of Crete,Greece,"14,119",26.5,4%,63:37:00,41.9–45.3,19.9,25.7,76.5,64.5,47.4
501–600,University of Cyprus,Cyprus,"6,907",20,14%,61:39:00,41.9–45.3,22.5,25.8,75.3,64.3,77.7
501–600,University of Denver,United States,"10,367",13.6,5%,60:40:00,41.9–45.3,39.9,24.3,64.2,55.8,31.2
501–600,Donghua University,China,"23,099",14.7,6%,44:56:00,41.9–45.3,27.8,22.1,72.8,85.3,39.9
501–600,University of Eastern Finland,Finland,"12,237",18.5,5%,67:33:00,41.9–45.3,28.9,31.2,69.7,67.4,48.5
501–600,Edinburgh Napier University,United Kingdom,"12,415",22.4,34%,52:48:00,41.9–45.3,18.1,18.4,77.9,47.7,93.7
501–600,ENSTA Bretagne,France,652,8.6,18%,26 : 74,41.9–45.3,39.4,28.6,48.1,75.5,68.9
501–600,University of Ferrara,Italy,"23,010",34.8,5%,62:38:00,41.9–45.3,29.6,24.9,74.3,66.9,44.7
501–600,University of Granada,Spain,"55,523",14.7,9%,59:41:00,41.9–45.3,28.5,26.6,65.7,52.2,52.6
501–600,University of Graz,Austria,"12,830",12.6,17%,66:34:00,41.9–45.3,29.2,21.8,66.9,51.2,81.3
501–600,Graz University of Technology,Austria,"6,660",8.2,24%,26 : 74,41.9–45.3,40.4,21.4,51.5,91.5,81.5
501–600,University of Greenwich,United Kingdom,"17,095",21.8,46%,58:42:00,41.9–45.3,17.8,17.5,81.2,40.9,97.2
501–600,Hamburg University of Technology,Germany,"4,246",26.4,23%,29 : 71,41.9–45.3,37.6,24.5,53,79.5,61.4
501–600,University of Houston,United States,"47,963",26.3,7%,52:48:00,41.9–45.3,33.8,29.7,65.8,70.2,50.8
501–600,University of Huddersfield,United Kingdom,"14,270",19.8,26%,58:42:00,41.9–45.3,28.3,25,66.3,44.4,88.4
501–600,University of Iceland,Iceland,"9,899",17,12%,68:32:00,41.9–45.3,23.4,34,70.6,75.6,55.8
501–600,Istanbul Technical University,Turkey,"19,055",25.8,14%,42:58:00,41.9–45.3,35.8,36.6,51.8,87.3,45.8
501–600,Jamia Millia Islamia,India,"10,235",11.2,4%,52:48:00,41.9–45.3,41.1,14.4,75.7,37.5,39.7
501–600,Jinan University,China,"37,555",15,30%,60:40:00,41.9–45.3,25.9,22.8,73.5,43.6,63.1
501–600,Keele University,United Kingdom,"9,610",15.8,15%,60:40:00,41.9–45.3,21.5,24.6,73.3,66.1,81.3
501–600,King Khalid University,Saudi Arabia,"32,078",8.3,16%,61:39:00,41.9–45.3,29.8,20.1,70.3,48.6,91
501–600,University of Klagenfurt,Austria,"3,479",10,31%,67:33:00,41.9–45.3,31.2,19.4,72.4,48.1,87.6
501–600,University of KwaZulu-Natal,South Africa,"33,039",27.6,2%,60:40:00,41.9–45.3,31.5,34.8,63.7,39.7,55.9
501–600,Kyungpook National University,South Korea,"18,432",20.1,14%,45:55:00,41.9–45.3,33.2,38.1,51.5,96.2,50.2
501–600,Lebanese American University,Lebanon,"7,100",10.1,17%,52:48:00,41.9–45.3,26.7,13.2,76.4,32.8,84.2
501–600,Leuphana University of Lüneburg,Germany,"7,773",22.5,7%,62:38:00,41.9–45.3,25.5,22.9,85.3,25.8,59.8
501–600,University of Lincoln,United Kingdom,"15,020",16.1,13%,55:45:00,41.9–45.3,19.9,18.7,82.2,24.7,80.2
501–600,Liverpool John Moores University,United Kingdom,"23,200",18.1,16%,54:46:00,41.9–45.3,21.6,19.3,77.7,35.4,83
501–600,Mahatma Gandhi University,India,"2,045",20.5,2%,60:40:00,41.9–45.3,38.8,38.1,62.3,23.2,28.1
501–600,Manchester Metropolitan University,United Kingdom,"30,985",17.4,19%,58:42:00,41.9–45.3,20.5,18.5,77.4,57.7,80.6
501–600,Massey University,New Zealand,"17,883",17.4,27%,64:36:00,41.9–45.3,28.7,28.2,60.5,77.6,87.5
501–600,Memorial University of Newfoundland,Canada,"16,318",15.1,23%,55:45:00,41.9–45.3,27.5,24.5,60.9,83.2,85.7
501–600,University of Messina,Italy,"13,509",21.1,3%,63:37:00,41.9–45.3,30.5,25.3,79.1,59.5,34.1
501–600,Middlesex University,United Kingdom,"15,545",18.3,50%,59:41:00,41.9–45.3,22.8,18.5,80,46.8,93.4
501–600,University of Mons,Belgium,"8,132",28.1,18%,56:44:00,41.9–45.3,24.8,32.5,63.9,64,71.5
501–600,Nantes Université,France,"36,654",24.5,9%,56:44:00,41.9–45.3,29.2,25.2,67.2,64.1,55
501–600,National Cheng Kung University (NCKU),Taiwan,"20,971",15.9,11%,37 : 63,41.9–45.3,35.4,39.2,47.2,100,40.8
501–600,National and Kapodistrian University of Athens,Greece,"67,934",34,11%,59:41:00,41.9–45.3,22.6,23.9,77.3,89.8,56.6
501–600,National Taiwan Normal University,Taiwan,"10,878",12.3,12%,n/a,41.9–45.3,35,32,51.4,92.7,50.4
501–600,National Yunlin University of Science and Technology,Taiwan,"9,151",21.5,6%,43:57:00,41.9–45.3,20.5,27.3,74.6,69.1,43.2
501–600,Nazarbayev University,Kazakhstan,"5,847",13.9,3%,52:48:00,41.9–45.3,25.4,29.5,65.9,40.4,74.3
501–600,University of Nebraska Medical Center,United States,"3,318",2,7%,71:29:00,41.9–45.3,36.9,16.4,77.8,66.1,41.3
501–600,University of Nicosia,Cyprus,"4,754",13,54%,53:47:00,41.9–45.3,22.6,21,76.1,26.3,91.2
501–600,Northumbria University,United Kingdom,"23,815",16.1,22%,54:46:00,41.9–45.3,21.5,22.7,75.8,40.4,90
501–600,Nottingham Trent University,United Kingdom,"32,545",15.4,21%,55:45:00,41.9–45.3,20.7,14.3,84.6,37.3,88.5
501–600,NOVA University of Lisbon,Portugal,"22,140",17.8,20%,51:49:00,41.9–45.3,29.5,33.7,61.5,71.5,62
501–600,Polytechnic University of Bari,Italy,"10,460",43,1%,29 : 71,41.9–45.3,23,27.6,76.9,59.9,42.5
501–600,University of Pretoria,South Africa,"37,315",22.1,6%,59:41:00,41.9–45.3,31.2,34.3,56.7,69.9,61.4
501–600,Pusan National University,South Korea,"17,195",16.9,10%,55:45:00,41.9–45.3,39.2,39.1,45.1,86.6,37.8
501–600,Universiti Putra Malaysia,Malaysia,"19,001",11.3,27%,65:35:00,41.9–45.3,36,30.5,51.2,64.9,80.7
501–600,Rovira i Virgili University,Spain,"13,656",13.3,13%,60:40:00,41.9–45.3,27.4,24.3,68.1,49.7,58.9
501–600,Rush University,United States,"2,848",2.1,1%,76:24:00,41.9–45.3,41.3,14.2,78,56,28.9
501–600,University of Salerno,Italy,"26,142",26.5,2%,55:45:00,41.9–45.3,21.9,24.4,79.2,52.4,37.4
501–600,Sciences Po,France,"12,445",42.6,32%,63:37:00,41.9–45.3,32.4,25.6,60.1,17.2,84.6
501–600,Shanghai University,China,"38,015",13,6%,51:49:00,41.9–45.3,31.8,38,62.7,71.3,42.9
501–600,Shiraz University of Technology,Iran,"1,372",12.9,0%,39 : 61,41.9–45.3,37,22.8,77.7,32.6,33.7
501–600,Shoolini University of Biotechnology and Management Sciences,India,"3,251",15.3,1%,47:53:00,41.9–45.3,27.6,17.9,85.2,17.7,70
501–600,University of Siena,Italy,"13,115",18.1,10%,63:37:00,41.9–45.3,25,25.6,75.9,74.9,48.7
501–600,"Soochow University, China",China,"47,295",15.8,3%,52:48:00,41.9–45.3,27.7,24.3,79.8,75.6,30.6
501–600,Southern Cross University,Australia,"10,381",48.7,23%,66:34:00,41.9–45.3,23.5,27.7,65.4,52.8,73.7
501–600,University of the Sunshine Coast,Australia,"11,542",29.8,13%,69:31:00,41.9–45.3,20.9,27.7,70.2,37.3,69.1
501–600,University of Tabriz,Iran,"20,177",26.7,4%,52:48:00,41.9–45.3,26.7,23.4,80.1,43.1,40.8
501–600,Tabriz University of Medical Sciences,Iran,"8,065",9.3,2%,54:46:00,41.9–45.3,43,15.1,73.1,29.9,30.2
501–600,Taif University,Saudi Arabia,"36,059",19.4,3%,55:45:00,41.9–45.3,18.3,17.8,84.1,20.9,75.6
501–600,The University of Texas at San Antonio,United States,"28,469",26.4,3%,52:48:00,41.9–45.3,21,22.5,79.2,63.6,42.8
501–600,Tomsk State University,Russian Federation,"7,930",11.6,37%,n/a,41.9–45.3,49.2,40,31.8,53.8,79.1
501–600,University of Trieste,Italy,"17,196",26,7%,57:43:00,41.9–45.3,31.9,25.1,74.2,52.3,52
501–600,TU Braunschweig,Germany,"18,384",19.6,18%,41:59:00,41.9–45.3,34.5,24,61.5,77,60.6
501–600,The University of Tulsa,United States,"4,110",10.8,9%,49:51:00,41.9–45.3,36.1,17.2,71.9,52.9,44.6
501–600,UiT The Arctic University of Norway,Norway,"15,114",10.6,8%,57:43:00,41.9–45.3,27.7,22.1,68.8,54,65.6
501–600,University of Ulsan,South Korea,"12,223",10.8,4%,48:52:00,41.9–45.3,29.4,26.6,69,86.6,25.2
501–600,University of Valencia,Spain,"49,165",13.7,9%,60:40:00,41.9–45.3,28.9,25.6,75.7,58.2,49.2
501–600,Wayne State University,United States,"22,523",13,5%,61:39:00,41.9–45.3,36.4,20.4,70.2,79.3,41.8
501–600,University of the West of England,United Kingdom,"26,890",15.9,25%,52:48:00,41.9–45.3,19.5,15,82.6,30.2,78.6
501–600,University of Windsor,Canada,"14,849",34.1,35%,n/a,41.9–45.3,28.7,29.8,56.7,60.7,90.8
501–600,University of Wuppertal,Germany,"14,699",35.4,10%,54:46:00,41.9–45.3,29.8,29.8,67.3,64.6,55
501–600,Yangzhou University,China,"29,221",12.5,13%,63:37:00,41.9–45.3,32.8,24.6,64.9,66.7,54
601–800,Abdul Wali Khan University Mardan,Pakistan,"11,681",22.8,0%,26 : 74,37.0–41.8,18.4,12.6,80.4,21.8,49
601–800,Air University,Pakistan,"7,806",12.8,0%,34 : 66,37.0–41.8,24.2,12.5,81.5,39.5,48.7
601–800,The University of Aizu,Japan,"1,221",11.5,12%,0.520138889,37.0–41.8,26.6,13.8,58.6,63.7,82.6
601–800,The University of Alabama,United States,"34,810",21.6,4%,57:43:00,37.0–41.8,26,21.2,64.4,46.6,39.3
601–800,Alagappa University,India,"5,020",15.8,0%,62:38:00,37.0–41.8,34.8,12.8,64.8,23.2,44.4
601–800,Aligarh Muslim University,India,"20,428",12,1%,40 : 60,37.0–41.8,41.1,14,61.6,34.3,38.2
601–800,Amedeo Avogadro University of Eastern Piedmont,Italy,"14,981",40.8,7%,61:39:00,37.0–41.8,12.7,23.5,71.3,47.1,48.2
601–800,American University,United States,"12,771",12,12%,62:38:00,37.0–41.8,35.2,17.1,57.2,38.5,46.5
601–800,American University of Sharjah,United Arab Emirates,"4,737",12.5,74%,54:46:00,37.0–41.8,24.5,26.3,57.9,27.9,88.6
601–800,University of Arkansas,United States,"25,318",18.6,4%,55:45:00,37.0–41.8,27.4,30.5,62.6,67.3,36.2
601–800,University of Aveiro,Portugal,"13,563",16.3,11%,54:46:00,37.0–41.8,27.1,30.2,57.3,48.1,48.6
601–800,Babol University of Medical Sciences,Iran,"4,135",11.7,0%,57:43:00,37.0–41.8,41.7,12,70.5,18,21
601–800,Banaras Hindu University,India,"12,620",8,3%,43:57:00,37.0–41.8,47.2,16.4,66.4,26.8,25
601–800,University of Bari Aldo Moro,Italy,"30,486",20,2%,62:38:00,37.0–41.8,19.8,21.8,78.3,57.8,37.5
601–800,University of the Basque Country,Spain,"38,301",13.8,5%,55:45:00,37.0–41.8,27,23.9,65.8,65.5,46.2
601–800,Baylor University,United States,"20,859",19,6%,61:39:00,37.0–41.8,39.2,19.7,61.3,54.8,38.6
601–800,University of Beira Interior,Portugal,"8,248",17.4,18%,52:48:00,37.0–41.8,20.1,22.2,65.4,36.7,52.3
601–800,Bharathiar University,India,"3,887",18.2,0%,62:38:00,37.0–41.8,36.7,32.6,48,34.6,31.1
601–800,Bilkent University,Turkey,"9,109",14.8,8%,46:54:00,37.0–41.8,27.8,26,48.8,91.4,70
601–800,Birmingham City University,United Kingdom,"24,575",17.2,26%,63:37:00,37.0–41.8,17.3,11.8,77.8,23.2,81.9
601–800,Boğaziçi University,Turkey,"12,877",23.5,2%,45:55:00,37.0–41.8,26.1,26.6,57.4,59.6,50.6
601–800,University of Campania Luigi Vanvitelli,Italy,"28,065",28.9,2%,45:55:00,37.0–41.8,25.6,9.6,79,47.7,31.6
601–800,Cankaya University,Turkey,"6,685",24,1%,44:56:00,37.0–41.8,14,15.4,83.4,17,51
601–800,University of Cape Coast,Ghana,"32,167",38.6,0%,33 : 67,37.0–41.8,16.5,23.8,71,44.6,46.9
601–800,Capital Medical University,China,"15,347",4.9,5%,64:36:00,37.0–41.8,35.9,20.9,65.8,46,26.4
601–800,Capital University of Science and Technology,Pakistan,"6,237",28,0%,36 : 64,37.0–41.8,13.4,16.1,82,22.2,46.6
601–800,The Catholic University of America,United States,"3,930",11.2,6%,55:45:00,37.0–41.8,44.4,20,45.6,68.7,51.7
601–800,The Catholic University of Korea,South Korea,"7,389",17.9,7%,57:43:00,37.0–41.8,30.7,38.7,42.9,89.9,36.2
601–800,Chang Gung University,Taiwan,"7,017",12.3,5%,49:51:00,37.0–41.8,26.5,34.6,47.2,95.5,28.5
601–800,Chulalongkorn University,Thailand,"34,552",12.7,3%,56:44:00,37.0–41.8,36.7,32.2,50.2,76.6,44.1
601–800,Clark University,United States,"3,217",12.2,27%,59:41:00,37.0–41.8,26.6,20.8,66.8,54,70.5
601–800,COMSATS University Islamabad,Pakistan,"34,323",16,1%,42:58:00,37.0–41.8,17.9,16.6,88.2,30.5,50
601–800,University of Córdoba,Spain,"17,070",12.9,11%,57:43:00,37.0–41.8,27,19.9,62.6,41.9,52.3
601–800,Coventry University,United Kingdom,"32,635",14.9,48%,48:52:00,37.0–41.8,20.9,14.9,69.6,26.8,95.6
601–800,Cyprus University of Technology,Cyprus,"3,157",15.3,14%,57:43:00,37.0–41.8,29.4,19.1,63.3,21.9,71.2
601–800,University of Debrecen,Hungary,"19,964",12,24%,56:44:00,37.0–41.8,41.2,22.5,40.7,51.1,59.7
601–800,De Montfort University,United Kingdom,"23,125",18.5,37%,56:44:00,37.0–41.8,17.8,15.1,71,45,93.9
601–800,University of Derby,United Kingdom,"16,170",15.8,18%,60:40:00,37.0–41.8,18.5,12.8,71.8,26.5,75
601–800,Duy Tan University,Vietnam,"23,951",24.3,0%,57:43:00,37.0–41.8,12.1,14.2,87.5,17.4,52.5
601–800,East China University of Science and Technology,China,"30,974",18,2%,44:56:00,37.0–41.8,29.9,25.8,60.2,87.1,23.2
601–800,Eastern Mediterranean University,Northern Cyprus,"13,809",25.4,75%,44:56:00,37.0–41.8,26,15.2,73.8,35.9,75.5
601–800,École Centrale de Lyon,France,"2,286",16.4,24%,27 : 73,37.0–41.8,36,25.7,32.6,82.5,79.2
601–800,École des Mines de Saint-Étienne,France,"1,089",9.8,24%,27 : 73,37.0–41.8,44.3,31.4,34.5,77.3,70.6
601–800,École Nationale des Travaux Publics de l'État (ENTPE),France,800,14.8,14%,42:58:00,37.0–41.8,32.1,37,31.3,80.8,67.7
601–800,Egypt-Japan University of Science and Technology (E-JUST),Egypt,"1,751",18.4,3%,32 : 68,37.0–41.8,34.2,27.6,62.4,27.7,51.5
601–800,"University of Engineering and Technology, Taxila",Pakistan,"5,561",19.4,2%,0.765972222,37.0–41.8,16.4,12.8,82.6,17.1,48.5
601–800,Universidade Estadual Paulista (Unesp),Brazil,"34,828",12.8,4%,54:46:00,37.0–41.8,41.5,33.1,38.1,40.5,38.6
601–800,Ewha Womans University,South Korea,"13,999",16.7,15%,100:00:00,37.0–41.8,37.6,35.3,44.5,82.8,49.6
601–800,Federal University of Rio de Janeiro,Brazil,"52,534",13.5,1%,55:45:00,37.0–41.8,41.8,36,36.7,81,35.9
601–800,Universidade Federal do Rio Grande do Sul,Brazil,"45,760",16.5,1%,51:49:00,37.0–41.8,36.4,22.5,54.1,52.9,34.1
601–800,Federation University Australia,Australia,"9,166",16.8,38%,70:30:00,37.0–41.8,20.9,17.2,71.3,41.7,85.8
601–800,University of Foggia,Italy,"7,845",33.2,1%,63:37:00,37.0–41.8,24.3,24.7,65.5,30.6,30.3
601–800,Gabriele d‘Annunzio University,Italy,"23,336",31.7,2%,65:35:00,37.0–41.8,16.3,18.3,71.7,59.9,40.6
601–800,Glasgow Caledonian University,United Kingdom,"14,840",24.1,18%,58:42:00,37.0–41.8,20.7,13.9,66.7,46.1,75.6
601–800,Government College University Faisalabad,Pakistan,"21,518",26.5,0%,53:47:00,37.0–41.8,20.8,15,83.4,32.7,48.2
601–800,Guangdong University of Technology,China,"48,569",19,0%,27 : 73,37.0–41.8,17.2,19.3,79.6,63.5,28.4
601–800,Hacettepe University,Turkey,"37,249",19.9,3%,58:42:00,37.0–41.8,32.5,26.8,50.4,73.5,27.5
601–800,University of Haifa,Israel,"17,353",18.4,3%,66:34:00,37.0–41.8,23.9,30.1,68.4,64.5,34.5
601–800,University of Hail,Saudi Arabia,"19,400",11.2,3%,61:39:00,37.0–41.8,22.1,10.5,72.3,23.5,76.8
601–800,Harokopio University of Athens,Greece,"3,053",44.9,3%,52:48:00,37.0–41.8,25.1,27.4,72.9,37.4,41.1
601–800,University of Hertfordshire,United Kingdom,"20,480",16.3,40%,52:48:00,37.0–41.8,18.6,13.4,67.2,33.9,91.6
601–800,Hiroshima University,Japan,"14,590",7.6,10%,38 : 62,37.0–41.8,39.6,26.4,44.7,68.5,51.5
601–800,Imam Abdulrahman Bin Faisal University,Saudi Arabia,"23,781",11.3,4%,84:16:00,37.0–41.8,27.7,13.9,70.6,20.8,75.3
601–800,Imam Khomeini International University,Iran,"8,156",25.8,5%,54:46:00,37.0–41.8,30.6,19.6,72.4,26.7,26.9
601–800,Indian Institute of Technology Guwahati,India,"8,157",18,1%,24 : 76,37.0–41.8,35.5,24.1,52,49.5,28.6
601–800,Indian Institute of Technology (Indian School of Mines) Dhanbad,India,"6,174",16.7,0%,0.806944444,37.0–41.8,37.6,24.1,59.7,30,18.4
601–800,Indian Institute of Technology Patna,India,"2,375",18.8,1%,0.806944444,37.0–41.8,33.2,24.1,70.6,19.8,22.3
601–800,University of Insubria,Italy,"10,244",27.5,5%,56:44:00,37.0–41.8,19.7,22.7,80.4,43.2,42.4
601–800,"International Institute of Information Technology, Hyderabad",India,"1,905",18.3,7%,0.929861111,37.0–41.8,26,21.4,71.7,49.6,39.5
601–800,Iran University of Medical Sciences,Iran,"9,084",8.3,10%,55:45:00,37.0–41.8,48.2,16.4,54.5,39.1,38.3
601–800,ISCTE-University Institute of Lisbon,Portugal,"10,353",26.7,17%,52:48:00,37.0–41.8,26.4,35.7,56.3,55.2,53
601–800,Isfahan University of Technology,Iran,"10,529",22.7,1%,40 : 60,37.0–41.8,21.5,26.5,62,75.2,33
601–800,ITMO University,Russian Federation,"10,902",14.6,18%,34 : 66,37.0–41.8,34,34.9,40,69,67.1
601–800,Jagiellonian University,Poland,"34,309",8.8,11%,67:33:00,37.0–41.8,38.4,29,55.7,46.7,43.4
601–800,Jamia Hamdard University,India,"9,831",18.5,3%,41:59:00,37.0–41.8,21.1,15,74.8,40.4,41.9
601–800,Jawaharlal Nehru University,India,"9,737",16.1,1%,45:55:00,37.0–41.8,41.9,24.3,51.8,33.9,23.7
601–800,Jiangsu University,China,"35,258",9.4,6%,43:57:00,37.0–41.8,25.6,14.1,77.5,51.1,55.1
601–800,Jönköping University,Sweden,"6,910",13,13%,60:40:00,37.0–41.8,20.1,19.2,78.3,28.2,65.7
601–800,The University of Jordan,Jordan,"25,631",10.3,20%,69:31:00,37.0–41.8,27.8,13.4,62.7,30.8,67.1
601–800,Jouf University,Saudi Arabia,"19,006",9.6,3%,64:36:00,37.0–41.8,30.5,18.3,58.3,21.3,76.7
601–800,Juntendo University,Japan,"6,579",5,3%,54:46:00,37.0–41.8,37.6,17.1,59.3,81.4,25.3
601–800,University of Kaiserslautern,Germany,"6,912",22,19%,34 : 66,37.0–41.8,38.7,28.7,44.4,83,56.7
601–800,Kansas State University,United States,"19,332",13.8,6%,53:47:00,37.0–41.8,32.9,20.9,57.4,66.9,57.5
601–800,University of Kashan,Iran,"8,654",28.4,2%,55:45:00,37.0–41.8,27.1,19.9,74.7,21.9,24.8
601–800,Kashan University of Medical Sciences and Health Services,Iran,"3,265",20.5,3%,58:42:00,37.0–41.8,32.9,15,75.6,17.4,25.3
601–800,Keio University,Japan,"33,577",10.2,8%,36 : 64,37.0–41.8,36.9,27,49.2,73.3,38.4
601–800,KIIT University,India,"24,802",12.3,10%,49:51:00,37.0–41.8,38.5,15.8,61.5,52,39.4
601–800,King Saud bin Abdulaziz University for Health Sciences,Saudi Arabia,"8,594",13,1%,51:49:00,37.0–41.8,40.8,21.7,43.6,36.1,64.4
601–800,Kobe University,Japan,"15,333",10.2,7%,35 : 65,37.0–41.8,39.5,27.2,48.1,75.4,39
601–800,Konkuk University,South Korea,"12,805",25.2,15%,48:52:00,37.0–41.8,32.2,37.6,49.1,73.7,45
601–800,Kurdistan University of Medical Sciences,Iran,"3,229",10.7,2%,48:52:00,37.0–41.8,40.8,11.2,67.6,18.8,27.9
601–800,Lehigh University,United States,"6,518",11.2,17%,46:54:00,37.0–41.8,33,22.5,57.6,63.6,73.8
601–800,University of Lille,France,"79,372",31.5,13%,61:39:00,37.0–41.8,32.5,23.2,58.6,67.2,68
601–800,London South Bank University,United Kingdom,"14,510",17.5,37%,56:44:00,37.0–41.8,18.6,12.4,65.9,52.4,92.3
601–800,University of Lorraine,France,"63,803",20,16%,53:47:00,37.0–41.8,27.3,18.9,58,60.6,72.9
601–800,Louisiana State University,United States,"31,112",19.4,4%,55:45:00,37.0–41.8,32.7,21.4,61.1,63.1,47.8
601–800,Lviv Polytechnic National University,Ukraine,"22,580",11.9,1%,41:59:00,37.0–41.8,22.9,11.3,34.2,18.8,27.1
601–800,Mahidol University,Thailand,"28,790",8.9,5%,64:36:00,37.0–41.8,39.3,25,46.3,78.6,48.7
601–800,Malaviya National Institute of Technology,India,"4,715",17.3,0%,31 : 69,37.0–41.8,29.9,15.6,76.5,19.8,20.3
601–800,Universiti Malaysia Pahang Al-Sultan Abdullah (UMPSA),Malaysia,"8,331",13.5,8%,49:51:00,37.0–41.8,27.4,19,67.5,28.3,57.9
601–800,Manipal Academy of Higher Education,India,"23,602",9.1,12%,47:53:00,37.0–41.8,45,18.5,46.3,44.9,48.3
601–800,Marche Polytechnic University,Italy,"14,332",28.9,5%,47:53:00,37.0–41.8,23.2,22.6,75.6,64.9,36
601–800,"University of Maryland, Baltimore County",United States,"11,668",17.2,11%,46:54:00,37.0–41.8,28.8,24.6,61.5,66.8,50.1
601–800,Masaryk University,Czech Republic,"32,789",18.4,23%,62:38:00,37.0–41.8,25.9,31,50.1,41.7,66.3
601–800,Mashhad University of Medical Sciences,Iran,"8,666",9,4%,57:43:00,37.0–41.8,34.9,14.7,63.9,28.5,29.7
601–800,Mazandaran University of Medical Sciences,Iran,"6,715",12.4,1%,56:44:00,37.0–41.8,44.1,12.4,65.6,28.1,24.7
601–800,University of Minho,Portugal,"20,001",19.5,13%,56:44:00,37.0–41.8,26.3,30.3,59.3,74.7,51.9
601–800,Mississippi State University,United States,"21,181",14.6,4%,53:47:00,37.0–41.8,27.3,20,58.8,66.2,50.7
601–800,Monterrey Institute of Technology,Mexico,"16,693",14.9,12%,43:57:00,37.0–41.8,24,22.7,61.9,60.1,65.8
601–800,University of Namur,Belgium,"6,616",22.2,12%,58:42:00,37.0–41.8,24.4,27.2,53.7,62.8,69.7
601–800,Nanjing University of Aeronautics and Astronautics,China,"33,883",15.4,3%,n/a,37.0–41.8,28.2,31.6,50.1,71.4,24.7
601–800,Nanjing Forestry University,China,"32,345",16.5,1%,n/a,37.0–41.8,22.6,21.2,79.4,28.7,28
601–800,Nanjing Tech University,China,"38,866",13.5,3%,n/a,37.0–41.8,21.8,16.2,69.1,68.1,37.1
601–800,National Institute of Applied Sciences of Lyon (INSA Lyon),France,"6,130",18.7,29%,36 : 64,37.0–41.8,37.2,27,38.3,93.8,75.1
601–800,National University of Sciences and Technology,Pakistan,"12,212",9.3,5%,34 : 66,37.0–41.8,25.1,19.4,71.2,34.9,55.1
601–800,National University of Science and Technology (MISiS),Russian Federation,"7,198",12,21%,40 : 60,37.0–41.8,39.1,27.1,43.2,64.1,65.6
601–800,National Sun Yat-Sen University,Taiwan,"8,497",12.6,9%,42:58:00,37.0–41.8,28.2,33.7,43.8,79.1,47.2
601–800,National Technical University of Athens,Greece,"13,532",20.3,6%,37 : 63,37.0–41.8,26.3,23,59.1,59.7,38.1
601–800,National Institute of Technology Rourkela,India,"7,661",20.6,4%,0.970833333,37.0–41.8,30.6,20.2,64.7,29.9,23.1
601–800,National Institute of Technology Silchar,India,"4,704",16.3,2%,0.888888889,37.0–41.8,32.4,19.5,71.7,18.4,20.5
601–800,Near East University,Northern Cyprus,"23,137",29.2,86%,45:55:00,37.0–41.8,25.9,18.8,66.6,49.9,86.8
601–800,"University of Nevada, Las Vegas",United States,"26,730",23.2,4%,57:43:00,37.0–41.8,29.3,25.6,64.7,51.5,38.3
601–800,University of New Brunswick UNB,Canada,"8,308",15,14%,53:47:00,37.0–41.8,24.3,25,62.4,64,81.1
